Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,            3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,            toPerc,ft,fta,ftr,ortg,drtg,sos
One,at Washington, DC,1,Maryland,85,36,1083,2248,0.482,217,580,0.374,866,1668,0.482,3060,2552,714,473,1006,2717.5399932386745,0.5755081774822082,0.5300266903914591,495,0.18215003320340295,677,933,0.4150355871886121,1.126018387075582,0.939084615626433,9.38
One,at Washington, DC,16,Siena,70,36,853,2044,0.417,250,722,0.346,603,1322,0.417,2517,2482,465,402,959,2519.187994121969,0.5297252247701788,0.47847358121330724,550,0.21832431771003874,561,754,0.36888454011741684,0.9991314685021228,0.9852381028296657,-3.71
One,at Washington, DC,8,Wisconsin,80,32,731,1675,0.436,211,593,0.356,520,1082,0.436,2144,2101,407,328,704,2029.9668217054264,0.5460472697636511,0.4994029850746269,414,0.20394421996128398,471,655,0.39104477611940297,1.0561748975772773,1.0349922853590765,9.22
One,at Washington, DC,9,St. John's (NY),70,32,784,1953,0.401,139,484,0.287,645,1469,0.401,2250,2202,368,498,708,2244.8881094527364,0.4870467218508641,0.43701996927803377,484,0.21560094597230975,543,811,0.41525857654889914,1.0022771248712747,0.9808952128740208,6.3
One,at St. Louis, MO,5,Marquette,69,33,871,1841,0.473,173,456,0.379,698,1385,0.473,2413,2004,462,420,750,2211.420512820513,0.5591343034572249,0.520097772949484,455,0.20575010377365052,498,720,0.3910917979359044,1.0911538470457554,0.9062048526646058,4.77
One,at St. Louis, MO,12,Tulsa,71,34,961,2016,0.477,259,639,0.405,702,1377,0.477,2726,2363,586,373,841,2394.7622322899506,0.5838359262559112,0.5409226190476191,436,0.1820640037332986,545,724,0.35912698412698413,1.13831760132333,0.9867367908756526,2.3
One,at St. Louis, MO,4,Kentucky,83,32,905,2021,0.448,219,692,0.316,686,1329,0.448,2460,2183,471,492,791,2278.2833671083395,0.5343829831604191,0.5019792182088075,460,0.20190640314591102,431,638,0.31568530430479963,1.0797603298672633,0.958177561016356,11.99
One,at St. Louis, MO,13,Valparaiso,68,33,893,1989,0.449,275,785,0.35,618,1204,0.449,2564,2180,570,448,794,2304.589887278583,0.5524052465571623,0.5180995475113123,437,0.18962159055381408,503,754,0.3790849673202614,1.112562375697893,0.9459383693531229,-1.24
One,at Chicago, IL,6,Texas Tech,68,32,931,1999,0.466,146,388,0.376,785,1611,0.466,2532,2292,588,419,811,2313.9183414634144,0.54173869880013,0.5022511255627814,397,0.17157044519942796,524,768,0.384192096048024,1.0942477764356464,0.9905276080531207,7.22
One,at Chicago, IL,11,Southern Illinois,76,36,976,2115,0.461,220,601,0.366,756,1514,0.461,2717,2425,547,483,913,2538.3333882521492,0.5429222284389738,0.5134751773049645,493,0.19422192619838285,545,880,0.4160756501182033,1.0703873701440287,0.9553512596979278,1.67
