Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Winston-Salem,NC,1,UNC,86,38,1187,2379,0.499,215,600,0.358,972,1779,0.499,3258,2608,696,522,1029,2849.74166344294,0.5833273651794028,0.5441361916771753,524,0.18387631648228944,669,940,0.39512400168137873,1.1432615249986622,0.9151706744004023,9.3,0
One,Winston-Salem,NC,16,Eastern Kentucky,65,33,782,1691,0.462,264,758,0.348,518,933,0.462,2151,2089,477,280,650,2034.1651612903224,0.5660526315789474,0.540508574807806,446,0.21925456619121866,323,475,0.2808988764044944,1.0574362598145994,1.026956925501022,-5.28,1
One,Winston-Salem,NC,8,Marquette,49,34,851,1951,0.436,217,651,0.333,634,1300,0.436,2443,2207,475,488,763,2301.0665067945642,0.5321234404405102,0.4917990773962071,496,0.21555222264780988,524,783,0.40133264992311635,1.0616816127592732,0.9591204745639443,6.95,1
One,Winston-Salem,NC,9,Michigan State,61,35,806,1718,0.469,182,486,0.374,624,1232,0.469,2276,2001,560,394,823,2191.474806902219,0.5652579920923486,0.5221187427240978,521,0.23773944302670982,482,671,0.39057043073341097,1.0385700044698494,0.9130837341582464,8.45,0
One,Spokane,WA,5,USC,77,37,946,1988,0.476,207,523,0.396,739,1465,0.476,2656,2413,472,349,928,2534.8904776820673,0.569771233417426,0.5279175050301811,540,0.213026955110811,557,779,0.391851106639839,1.047777023656137,0.9519148938562721,7.87,0
One,Spokane,WA,12,Arkansas,60,35,881,1910,0.461,212,613,0.346,669,1297,0.461,2487,2311,521,392,841,2383.956399026764,0.5573234134098244,0.5167539267015707,532,0.2231584437606266,513,730,0.38219895287958117,1.0432237775050346,0.9693969239300904,8.74,1
One,Spokane,WA,4,Texas,79,35,963,2164,0.445,308,792,0.389,655,1372,0.445,2860,2528,479,482,909,2492.706153846154,0.5634357762017337,0.5161737523105361,434,0.17410796668927622,626,850,0.3927911275415896,1.1473474302565208,1.014158847443526,6.12,0
One,Spokane,WA,13,New Mexico State,67,34,906,1890,0.479,199,513,0.388,707,1377,0.479,2652,2462,472,459,826,2476.9129027237354,0.5717981888745148,0.532010582010582,573,0.231336353962992,641,975,0.5158730158730159,1.0706876277658897,0.9939792381446532,0.01,1
One,Sacramento,CA,6,Vanderbilt,77,34,904,1984,0.456,317,843,0.376,587,1141,0.456,2594,2387,578,346,800,2314.301570680628,0.5721419370776207,0.5355342741935484,422,0.1823444296742586,469,643,0.3240927419354839,1.1208565179503005,1.0314126863328323,7.79,0
One,Sacramento,CA,11,George Washington,44,32,824,1799,0.458,171,465,0.368,653,1334,0.458,2247,2067,462,389,701,2115.0841743119267,0.5433205663881151,0.5055586436909394,444,0.20992072343619178,428,611,0.339633129516398,1.0623690665791057,0.9772660705914603,0.64,1
One,Sacramento,CA,3,Washington State,70,34,826,1777,0.465,196,527,0.372,630,1250,0.465,2273,2024,472,271,772,2104.807411313519,0.5576764544241187,0.5199774901519415,355,0.1686615117810042,425,593,0.3337084974676421,1.0799087782485142,0.9616081685767676,6.0,0
