year,SeedType,Upset,Region,GameCity,GameState,TopSeed,TopCity,TopST,TopTravel,TopScore,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,BotSeed,BotCity,BotST,BotTravel,BotScore,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS
2001,TwoFifteen,1,Four,Boise,ID,Iowa State,,,,57,31,823,1735,0.474,182,436,0.417,641,1299,0.474,2451,2115,429,375,853,2246.4032573289905,0.5803546058987328,0.5268011527377522,467,0.2078878751962239,623,856,0.49337175792507204,1.0910774777429224,0.9415050450535621,4.87,Hampton,,,,58,32,850,1846,0.46,200,575,0.348,650,1271,0.46,2471,2246,449,434,809,2296.8982461786,0.5581910183428209,0.514626218851571,489,0.21289580451095735,571,835,0.452329360780065,1.0757986358825677,0.9778404436229248,-10.6
2005,FiveTwelve,0,One,Nashville,TN,Villanova,,,,55,32,801,1840,0.435,225,626,0.359,576,1214,0.435,2336,1996,385,463,730,2094.3406621961444,0.5446541818995747,0.4964673913043478,409,0.19528819135427516,509,692,0.3760869565217391,1.115386833749601,0.9530445719881008,8.43,New Mexico,,,,47,33,855,1733,0.493,269,688,0.391,586,1045,0.493,2492,2121,491,327,800,2216.4148890860693,0.6033313964749177,0.5709751875360646,454,0.204835296061021,513,755,0.4356607039815349,1.124338233004547,0.9569507994392633,1.5
2005,EightNine,1,One,Charlotte,NC,Minnesota,,,,53,32,771,1707,0.452,170,487,0.349,601,1220,0.452,2175,2012,453,373,718,2142.9921539871675,0.5449379647631838,0.5014645577035736,516,0.2407848293051146,463,656,0.38429994141769186,1.0149360537570238,0.9388741793835089,6.96,Iowa State,,,,64,31,784,1794,0.437,113,387,0.292,671,1407,0.437,2112,2005,444,376,724,2082.397090909091,0.5096328327091618,0.4685061315496098,405,0.19448740193120098,431,632,0.35228539576365664,1.0142157848856703,0.9628326935112542,8.4
2006,OneSixteen,0,One,Philadelphia,PA,Villanova,,,,58,33,809,1942,0.417,288,769,0.375,521,1173,0.417,2449,2107,403,459,739,2134.317287145242,0.5424189804560837,0.49073120494335737,370,0.1733575425867884,543,717,0.36920700308959836,1.147439518364986,0.9872009249469275,9.23,Monmouth,,,,45,34,787,1785,0.441,217,644,0.337,570,1141,0.441,2191,2155,502,296,818,2250.0598204667863,0.5349957024535084,0.5016806722689076,510,0.22666064046874893,400,597,0.334453781512605,0.9737518887588802,0.9577523141375567,-4.05
2007,EightNine,0,Four,Chicago,IL,Kentucky,,,,67,34,890,1868,0.476,231,650,0.355,659,1218,0.476,2496,2302,537,370,865,2323.4856680161943,0.5746914717259164,0.5382762312633833,493,0.21218120980316882,485,690,0.3693790149892934,1.0742480723503234,0.9907528295474537,11.41,Villanova,,,,58,33,775,1827,0.424,248,704,0.352,527,1123,0.424,2392,2132,419,438,758,2169.1672909699,0.5532324316323132,0.49206349206349204,450,0.2074528792100638,594,761,0.4165298303229338,1.1027273046010502,0.9828656410574579,9.16
2008,FiveTwelve,1,Three,Tampa,FL,Clemson,,,,69,34,1000,2191,0.456,271,728,0.372,729,1463,0.456,2693,2372,535,536,769,2443.38059770115,0.5410063964514159,0.5182565038795071,505,0.20668085867389155,422,677,0.3089913281606572,1.102161489918396,0.9707861322266748,9.08,Villanova,,,,75,35,868,2013,0.431,242,703,0.344,626,1310,0.431,2547,2431,466,457,800,2383.779514717581,0.5401862974651328,0.4913065076999503,503,0.2110094481869868,569,783,0.3889716840536513,1.068471301256969,1.0198090825895922,7.69
2009,ThreeFourteen,0,One,Philadelphia,PA,Villanova,,,,80,38,990,2193,0.451,247,701,0.352,743,1492,0.451,2919,2560,551,477,972,2641.860062111801,0.5619167154341331,0.5077519379844961,505,0.19115319817368465,692,919,0.41906064751481986,1.1049033375623476,0.9690142323260054,8.72,American,,,,67,32,751,1614,0.465,230,615,0.374,521,999,0.465,2065,1891,421,302,744,1974.9940535372848,0.5610925136944613,0.5365551425030979,422,0.21367152941254833,333,514,0.3184634448574969,1.0455727683339153,0.9574712372491206,-5.49
2010,TwoFifteen,0,Two,Providence,RI,Villanova,,,,73,33,899,1962,0.458,252,676,0.373,647,1286,0.458,2700,2404,448,441,831,2364.062099056604,0.5767160506484851,0.5224260958205912,452,0.19119633117098483,650,861,0.43883792048929665,1.142101978233759,1.0168937613607247,7.75,Robert Morris,,,,70,35,815,1868,0.436,197,546,0.361,618,1322,0.436,2399,2306,433,412,815,2353.275207823961,0.5340700635808295,0.4890256959314775,520,0.2209686305584447,572,859,0.45985010706638113,1.0194302782879017,0.979910888591872,-6.15
2011,EightNine,0,One,Cleveland,OH,George Mason,,,,61,34,876,1861,0.471,227,574,0.395,649,1287,0.471,2474,2124,483,364,824,2201.272558922559,0.5682340187053267,0.5317033852767329,376,0.17081028811081805,495,718,0.3858140784524449,1.1238953531546911,0.9648964147536637,1.37,Villanova,,,,57,33,796,1819,0.438,210,604,0.348,586,1215,0.438,2384,2159,450,402,821,2158.8017825020443,0.5525271628286423,0.4953271028037383,392,0.18158221063986396,582,769,0.422759758108851,1.104316301442438,1.0000918182945568,8.23
2012,EightNine,0,Two,Louisville,KY,Iowa State,,,,77,34,847,1888,0.449,293,786,0.373,554,1102,0.449,2490,2286,484,371,802,2247.1018158567776,0.5634401984033599,0.526218220338983,419,0.18646240105513118,503,731,0.3871822033898305,1.1080939824040015,1.0173103790263243,7.32,UConn,,,,64,34,858,1900,0.452,185,557,0.332,673,1343,0.452,2336,2193,457,415,736,2178.801650738488,0.5335574762000476,0.5002631578947369,418,0.19184857871680155,435,657,0.34578947368421054,1.072148994934087,1.0065165864257075,8.07
